subject,base_A,base_B,n_err_A,n_err_B,both_wrong,jaccard_err,disagreement_rate,acc_A,acc_B,n_trials
3,riemann_ts_1band,eegnet_transfer,44,57,21,0.2625,0.2048611111111111,0.8472222222222222,0.8020833333333334,288
3,riemann_ts_1band,shallowconvnet_transfer,44,64,26,0.3170731707317073,0.19444444444444445,0.8472222222222222,0.7777777777777778,288
3,riemann_multiband_ts_pca,riemann_multiband_ts_l1,51,42,28,0.4307692307692308,0.1284722222222222,0.8229166666666666,0.8541666666666666,288
3,riemann_multiband_ts_pca,eegnet,51,63,31,0.37349397590361444,0.18055555555555555,0.8229166666666666,0.78125,288
3,riemann_multiband_ts_pca,shallowconvnet,51,72,32,0.3516483516483517,0.2048611111111111,0.8229166666666666,0.75,288
3,riemann_multiband_ts_pca,eegnet_transfer,51,57,26,0.3170731707317073,0.19444444444444445,0.8229166666666666,0.8020833333333334,288
3,riemann_multiband_ts_pca,shallowconvnet_transfer,51,64,30,0.35294117647058826,0.1909722222222222,0.8229166666666666,0.7777777777777778,288
3,riemann_multiband_ts_l1,eegnet,42,63,20,0.23529411764705882,0.22569444444444445,0.8541666666666666,0.78125,288
3,riemann_multiband_ts_l1,shallowconvnet,42,72,19,0.2,0.2638888888888889,0.8541666666666666,0.75,288
3,riemann_multiband_ts_l1,eegnet_transfer,42,57,16,0.1927710843373494,0.2326388888888889,0.8541666666666666,0.8020833333333334,288
3,riemann_multiband_ts_l1,shallowconvnet_transfer,42,64,19,0.21839080459770116,0.2361111111111111,0.8541666666666666,0.7777777777777778,288
3,eegnet,shallowconvnet,63,72,39,0.40625,0.19791666666666666,0.78125,0.75,288
3,eegnet,eegnet_transfer,63,57,34,0.3953488372093023,0.18055555555555555,0.78125,0.8020833333333334,288
3,eegnet,shallowconvnet_transfer,63,64,34,0.3655913978494624,0.2048611111111111,0.78125,0.7777777777777778,288
3,shallowconvnet,eegnet_transfer,72,57,30,0.30303030303030304,0.23958333333333334,0.75,0.8020833333333334,288
3,shallowconvnet,shallowconvnet_transfer,72,64,44,0.4782608695652174,0.16666666666666666,0.75,0.7777777777777778,288
3,eegnet_transfer,shallowconvnet_transfer,57,64,30,0.32967032967032966,0.21180555555555555,0.8020833333333334,0.7777777777777778,288
4,fbcsp_rlda,riemann_ts_1band,114,129,73,0.4294117647058823,0.3368055555555556,0.6041666666666666,0.5520833333333334,288
4,fbcsp_rlda,riemann_multiband_ts_pca,114,134,75,0.43352601156069365,0.3402777777777778,0.6041666666666666,0.5347222222222222,288
4,fbcsp_rlda,riemann_multiband_ts_l1,114,129,74,0.4378698224852071,0.3298611111111111,0.6041666666666666,0.5520833333333334,288
4,fbcsp_rlda,eegnet,114,174,76,0.3584905660377358,0.4722222222222222,0.6041666666666666,0.3958333333333333,288
4,fbcsp_rlda,shallowconvnet,114,165,72,0.34782608695652173,0.46875,0.6041666666666666,0.4270833333333333,288
4,fbcsp_rlda,eegnet_transfer,114,169,68,0.31627906976744186,0.5104166666666666,0.6041666666666666,0.4131944444444444,288
4,fbcsp_rlda,shallowconvnet_transfer,114,154,73,0.37435897435897436,0.4236111111111111,0.6041666666666666,0.4652777777777778,288
4,riemann_ts_1band,riemann_multiband_ts_pca,129,134,90,0.5202312138728323,0.2881944444444444,0.5520833333333334,0.5347222222222222,288
4,riemann_ts_1band,riemann_multiband_ts_l1,129,129,91,0.5449101796407185,0.2638888888888889,0.5520833333333334,0.5520833333333334,288
4,riemann_ts_1band,eegnet,129,174,88,0.40930232558139534,0.4409722222222222,0.5520833333333334,0.3958333333333333,288
4,riemann_ts_1band,shallowconvnet,129,165,90,0.4411764705882353,0.3958333333333333,0.5520833333333334,0.4270833333333333,288
4,riemann_ts_1band,eegnet_transfer,129,169,85,0.39906103286384975,0.4444444444444444,0.5520833333333334,0.4131944444444444,288
