subject,cv_kappa,cv_acc,macro_f1,kappa_std,n_trials,elapsed_sec
1,0.6851851851851851,0.7638888888888888,0.7608521241830065,0.075691678497468,288,8.62813401222229
2,0.2592592592592593,0.4444444444444444,0.4373610730228377,0.043103880063645746,288,3.5390841960906982
3,0.5972222222222222,0.6979166666666666,0.6933211900425015,0.08746621389734331,288,3.4757466316223145
4,0.32407407407407407,0.4930555555555556,0.4901371338304797,0.060844142952019085,288,3.53106689453125
5,0.14814814814814814,0.3611111111111111,0.3471423095441497,0.05309024828643645,288,3.4172942638397217
6,0.26388888888888884,0.4479166666666667,0.4404060187124703,0.04783285821469045,288,3.45232892036438
7,0.5509259259259259,0.6631944444444444,0.6591929134595134,0.0803015967934624,288,3.3480162620544434
8,0.7083333333333333,0.78125,0.7820351130548207,0.08832390316477749,288,3.364306688308716
9,0.6342592592592593,0.7256944444444444,0.714049698087518,0.0778922357260343,288,3.435490369796753
MEAN,0.46347736625514396,0.597608024691358,0.5916108415485886,0.21337074039040063,2592,36.21147394180298
