subject,cv_kappa,cv_acc,macro_f1,kappa_std,n_trials,elapsed_sec
1,0.5833333333333333,0.6875,0.6584889834074029,0.06358233885077999,288,167.8437659740448
2,0.06481481481481477,0.2986111111111111,0.2849846796875941,0.047351878066490806,288,148.6014940738678
3,0.7361111111111112,0.8020833333333334,0.7912054903022374,0.08473273630686876,288,171.2432246208191
4,0.21759259259259256,0.4131944444444444,0.40627749114982403,0.06091509036378559,288,155.1295199394226
5,0.06018518518518523,0.2951388888888889,0.2632314555088047,0.10724831513933739,288,153.88334369659424
6,0.2777777777777778,0.4583333333333333,0.4564880777544051,0.07799715194339356,288,172.00392317771912
7,0.24537037037037035,0.4340277777777778,0.441047054480707,0.051315648866131,288,163.7669174671173
8,0.6759259259259259,0.7569444444444444,0.7520515857349651,0.11327701236103896,288,176.82704710960388
9,0.6157407407407407,0.7118055555555556,0.7053864918334583,0.12426610166487273,288,128.80159211158752
MEAN,0.38631687242798346,0.5397376543209877,0.5287957010954887,0.266345685879322,2592,1438.1718742847443
