subject,cv_kappa,cv_acc,macro_f1,kappa_std,n_trials,elapsed_sec
1,0.712962962962963,0.7847222222222222,0.7832540660910561,0.02832278451018585,288,9.02992868423462
2,0.2870370370370371,0.4652777777777778,0.4643953068361113,0.012047288135777911,288,5.4859254360198975
3,0.7962962962962963,0.8472222222222222,0.8475112762492536,0.06940745956335309,288,5.428683757781982
4,0.4027777777777778,0.5520833333333334,0.5515050199558218,0.06473604732236485,288,5.380968809127808
5,0.1527777777777778,0.3645833333333333,0.3649531584173683,0.08590366795330902,288,5.434832811355591
6,0.375,0.53125,0.5309192195856265,0.04536044311325057,288,5.422269105911255
7,0.5648148148148149,0.6736111111111112,0.6737340466953858,0.0897230881712386,288,5.455409288406372
8,0.7546296296296297,0.8159722222222222,0.8159085793298605,0.11073002316910566,288,5.469489336013794
9,0.7268518518518519,0.7951388888888888,0.7938345075091745,0.051404281979835154,288,5.485044240951538
MEAN,0.5303497942386831,0.6477623456790123,0.6473350200744066,0.2335453263250088,2592,52.6276741027832
